-2.6	0.08
-2.5	0.11
-2.4	0.18
-2.3	0.23
-2.2	0.29
-2.1	0.39
-2	0.57
-1.9	0.78
-1.8	0.96
-1.7	1.17
-1.6	1.2
-1.5	0.87
-1.4	0.62
-1.3	0.63
-1.2	1
-1.1	1.74
-1	2.62
-0.9	3.24
-0.8	3.4
-0.7	3
-0.6	2.22
-0.5	1.39
-0.4	0.91
-0.3	2.06
-0.2	3.29
-0.1	4.34
0	4.7
0.1	4.34
0.2	3.27
0.3	1.94
0.4	1.12
0.5	0.88
0.6	1.39
0.7	2.16
0.8	2.95
0.9	3.4
1	3.22
1.1	2.54
1.2	1.69
1.3	0.97
1.4	0.57
1.5	0.55
1.6	0.76
1.7	1.02
1.8	1.18
1.9	1.16
2	0.97
2.1	0.7
2.2	0.48
2.3	0.31
2.4	0.23
2.5	0.19
2.6	0.17
2.7	0.14
2.8	0.1
2.9	0.08
3	0.07
